id,Location,longitude,latitude
1216,AB08-S1,-121.53724,46.92012
1220,AB08-S2,-121.53725,46.92006
1224,AB08-S3,-121.53726,46.92
1228,AB08-S4,-121.53725,46.91993
1232,AB08-S5,-121.53727,46.91986
1236,AB08-S6,-121.53728,46.9198
1258,AE10-S1,-121.74326,46.76821
1262,AE10-S2,-121.7432,46.76821
1266,AE10-S3,-121.74313,46.7682
1270,AE10-S4,-121.74307,46.76819
1274,AE10-S5,-121.743,46.76819
1278,AE10-S6,-121.74293,46.76819
1299,AG05-S1,-121.80438,46.74735
1307,AG05-S3,-121.80431,46.74725
1310,AG05-S4,-121.80428,46.74719
1347,AM16-S3,-121.75743,46.76845
1352,AM16-S4,-121.75736,46.76837
1356,AM16-S5,-121.75731,46.76828
1360,AM16-S6,-121.75725,46.76821
1384,AO03-S1,-121.54824,46.82675
1388,AO03-S2,-121.54821,46.82677
1392,AO03-S3,-121.54817,46.82679
1398,AO03-S5,-121.54811,46.82684
1402,AO03-S6,-121.54808,46.82686
1426,AR07-S2,-121.74788,46.7763
1465,AV02-S1,-121.55053,46.82375
1469,AV02-S2,-121.55053,46.8238
1473,AV02-S3,-121.55054,46.82386
1477,AV02-S4,-121.55054,46.82391
1481,AV02-S5,-121.55055,46.82396
1485,AV02-S6,-121.55055,46.82399
1540,AV14-S1,-121.84763,46.95987
1544,AV14-S2,-121.84769,46.95988
1548,AV14-S3,-121.84775,46.95989
1552,AV14-S4,-121.84781,46.95989
1559,AV14-S6,-121.84791,46.9599
1586,AX15-S1,-121.82461,46.75029
1590,AX15-S2,-121.82456,46.75033
1594,AX15-S3,-121.82452,46.75037
1598,AX15-S4,-121.82448,46.75041
1602,AX15-S5,-121.82444,46.75044
1606,AX15-S6,-121.82441,46.75047
1669,PP17-S1,-121.60321,46.89483
1673,PP17-S2,-121.60325,46.89488
1677,PP17-S3,-121.60329,46.89493
1681,PP17-S4,-121.60333,46.89498
1684,PP17-S5,-121.60335,46.89503
1688,SPRY-S1,-121.83762,46.91913
1706,SPRY-S2,-121.83757,46.91914
1710,SPRY-S3,-121.83753,46.91915
1713,SPRY-S4,-121.83748,46.91916
1717,SPRY-S5,-121.83743,46.91917
1721,SPRY-S6,-121.8374,46.91919
1737,SUNR-S1,-121.65506,46.9286
1741,SUNR-S2,-121.65504,46.92858
1745,SUNR-S3,-121.65501,46.92856
1749,SUNR-S4,-121.65498,46.92852
1753,SUNR-S5,-121.65495,46.9285
1784,TA01-S4,-121.55815,46.7411
1812,TB13-S1,-121.84803,46.74041
1814,TB13-S2,-121.84799,46.74039
1817,TB13-S3,-121.84796,46.74037
1820,TB13-S4,-121.84792,46.74035
1822,TB13-S5,-121.84788,46.74033
1825,TB13-S6,-121.84785,46.74033
1850,TO04-S4,-121.88801,46.74059
1853,TO04-S5,-121.88795,46.7406
1856,TO04-S6,-121.88789,46.74062
1871,TO11-S1,-121.88681,46.9946
1874,TO11-S2,-121.8869,46.99462
1877,TO11-S3,-121.88699,46.99464
1880,TO11-S4,-121.8871,46.99466
1882,TO11-S5,-121.8872,46.99467
1885,TO11-S6,-121.88728,46.99468
2007,GB-1-2017,-121.66604,46.9
2009,GB-10-2017,-121.6964,46.89297
2011,GB-11-2017,-121.69839,46.89089
2013,GB-12-2017,-121.6987252,46.89051
2015,GB-13-2017,-121.6992472,46.89003
2017,GB-14-2017,-121.7001424,46.88932
2019,GB-15-2017,-121.700354,46.88959
2020,GB-16-2017,-121.402,46.88874
2021,GB-17-2017,-121.7042114,46.8885